Name,r,d,D,Moment (N m),Equivalent Stress Maximum (Pa) ,Life Minimum,Safety Factor
1,1,20,40,625,263093190.2,34646.87466,0.551866193
2,4,33.56,48.24,923.1933548,60019463.1,1000000,2.419085906
3,1,29.62,55.63,301.6634626,46369230.21,1000000,3.131219488
4,4,20.32098042,66.43524561,313.4840035,78796716.83,1000000,1.842617854
5,3,38.184,49.5,327.6711825,16034276.25,1000000,9.055116364
6,1.5,25.53,38.68576086,887.4720359,169217102.4,345418.51,0.858023422
7,3.5,23.38969917,37.93797917,899.1374603,160350361,503832.2786,0.905468727
8,2.5,20.32034667,69.5300471,938.817418,281414044.7,24397.61066,0.515938135
9,1,20.70324804,66.94787473,309.359816,123714222.5,1000000,1.173609908
10,1,20.349,35.61573893,304.2737374,120614900.6,1000000,1.203767002
11,1,36.16,59.63,915.1309113,83697678.84,1000000,1.734722388
12,3.5,29.424,68.07245604,347.7186427,34371700.76,1000000,4.224179603
13,3,21.8257148,36.727935,330.4082875,75170592.88,1000000,1.931503155
14,2.5,37.42231557,53.87269856,545.0018638,30757826.2,1000000,4.720497356
15,3,30.58,36.68692478,812.1429546,69733041.6,1000000,2.082115364
16,2,31.31182688,49.69485662,941.9808581,96091042.18,1000000,1.510986185
17,3.5,29.8384442,63.4422311,753.2352469,71269800.44,1000000,2.037219641
18,1,29.45090673,65.34487376,684.9392726,112724334.6,1000000,1.288029225
19,2,31.02673065,48.85681953,310.0033352,32714622.5,1000000,4.438144969
20,3,21.35118825,48.35474093,671.5733484,160573077.3,498978.8013,0.904212834
21,1,38.002,50.70091542,566.1452125,43226732.61,1000000,3.358852925
22,4,33.36031152,50.78444585,366.4815293,24318339.26,1000000,5.970483253
23,2.5,32.60503441,60.64,608.45,51278482.58,1000000,2.831445666
24,2.5,25.63,50.96,850.01,134370195.9,1000000,1.080539001
25,2,28.563,35.47963675,600.1709055,71917234.57,1000000,2.018879593
26,2,39.907,53.61638765,700.159863,36660570.58,1000000,3.960446741
27,2,20.61503576,69.84520245,574.6886887,172775765.3,298142.3971,0.840350711
28,2.5,20.04941613,53.91458295,301.9209173,93060574.71,1000000,1.560190636
29,2.5,29.583,51.6578885,899.632,97202867.14,1000000,1.493703237
30,2,20.55092894,35.64868782,916.5656254,283838472.5,23314.18773,0.51153121
31,3,36.90381004,45.256,938.6203027,49255602.58,1000000,2.947730404
32,3,27.562,37.74858543,306.4256805,36591280.42,1000000,3.967946342
33,2.5,32.31904449,36.96639841,626.6722738,47341801.46,1000000,3.066892953
34,1,40.537,62.859,864.43,58386427.78,1000000,2.486746369
35,2,39.94904446,52.46837696,921.4259326,46704914.81,1000000,3.108714316
36,2.5,29.346,36.72824576,590.3153647,62056055.01,1000000,2.33969493
37,3,22.36,35.64839498,944.4050869,200673346.3,130164.0905,0.723525271
38,3,21.11724263,35.81757709,316.5571376,77720920.94,1000000,1.868122965
39,1.5,24.563,35.16303354,876.9423844,187948084,175931.626,0.772512463
40,1.5,22.06949904,58.03217045,932.3091206,271424278.2,29489.11967,0.53492723
41,1,21.49989762,54.37115492,936.8308234,346321905.6,8354.070976,0.419240698
42,2.5,34.9400087,57.213,360.0755579,25133065.99,1000000,5.776940916
43,1.5,45.49368356,52.6703561,944.1912759,34761852.61,1000000,4.176769257
44,3.5,33.73820523,49.13606423,638.1554027,42321035,1000000,3.430734557
45,2,42.20506487,55.263,709.659,31429652.2,1000000,4.619594145
46,1.5,45.47364507,53.365,592.1518519,21649193.15,1000000,6.706588844
47,4,20.23317855,53.68005708,498.4123427,126524907.1,1000000,1.147538778
48,2,21.34135169,55.44132709,567.8914786,159388280,525410.7122,0.910934212
49,4,20.17805077,37.51761853,603.1995186,154650739.2,647852.9583,0.938839594
50,1,35.623,59.32,649.3010768,61894451.52,1000000,2.345803763
