Name,r,d,D,Moment X Component (N m) ,Equivalent Stress Maximum (Pa) ,Life Minimum,Safety Factor
1,4,20,40,825,216240526.2,259127.3067,0.844905695
2,1,28,48.438,923.1933548,162302572.8,1000000,1.12569289
3,1,29,55.253,301.6634626,49591050.47,1000000,3.684189998
4,2.5,20.32098042,66.43524561,313.4840035,92696715.72,1000000,1.970974384
5,1.5,28.365,35.83518994,822.25,112171249.7,1000000,1.628785029
6,2.5,29.653,38.68576086,887.4720359,91090173.69,1000000,2.005736126
7,3.5,23.38969917,37.93797917,899.1374603,160350361,503832.2786,0.905468727
8,2.5,20.32034667,69.5300471,938.817418,281414044.7,24397.61066,0.515938135
9,2,20.70324804,66.94787473,309.359816,95156382.67,1000000,1.920027296
10,1.5,26.198,35.61573893,304.2737374,52430633.14,1000000,3.484658514
11,2,37.356,49.282,915.1309113,56151985.02,1000000,3.253720275
12,1,39,48.236,347.7186427,23597529.24,1000000,7.74245686
13,2.5,21.8257148,36.727935,330.4082875,80781393.68,1000000,2.261694727
14,3,26.563,53.87269856,545.0018638,73325944.24,1000000,2.491653589
15,3.5,26.616,36.68692478,812.1429546,100744096.9,1000000,1.813534071
16,2.5,31.31182688,49.69485662,941.9808581,86634287.24,1000000,2.108897735
17,1.5,29.8384442,63.4422311,753.2352469,100121024,1000000,1.824820051
18,2,29.45090673,65.34487376,684.9392726,83350850.45,1000000,2.191973461
19,1.5,31.02673065,48.85681953,310.0033352,36477965.24,1000000,5.008581233
20,3,21.35118825,48.35474093,671.5733484,160573077.3,498978.8013,0.904212834
21,1,38,50.70091542,566.1452125,43392733.48,1000000,4.210448097
22,2,33.36031152,50.78444585,366.4815293,31287278.54,1000000,5.839525222
23,1.5,32.60503441,68.64000514,308.4509317,31501204.08,1000000,5.799868846
24,2.5,29.635,56.49225353,800.0115902,86892538.64,1000000,2.102629927
25,2.5,33.65,35.47963675,600.1709055,30430629.18,1000000,6.003913067
26,1.5,39.907,53.61638765,500.16,28834346.76,1000000,6.336292397
27,3,20.61503576,69.84520245,574.6886887,152565957.1,1000000,1.197533549
28,3,20.04941613,53.91458295,301.9209173,86258662.93,1000000,2.118081198
29,2,39.65,51.6578885,699,36320155.27,1000000,5.030343367
30,2.5,20.55092894,35.64868782,916.5656254,262801662.9,80684.5969,0.695211933
31,3,26.904,51.256,938.6203027,122391178.3,1000000,1.492777949
32,2.5,35.265,37.74858543,306.4256805,16305908.22,1000000,11.20470259
33,2,32.31904449,36.96639841,626.6722738,50827815.87,1000000,3.594544621
34,1,37.537,59.849,564.4332052,46845052.07,1000000,3.900152611
35,2,39.94904446,52.46837696,921.4259326,46704914.81,1000000,3.108714316
36,1.5,29.569,36.72824576,590.3153647,70402107.98,1000000,2.595133262
37,2,35.40050654,35.64839498,944.4050869,38639113.2,1000000,4.728443202
38,2,21.11724263,35.81757709,316.5571376,89877788.79,1000000,2.032792023
39,1.5,34.6788013,35.16303354,876.9423844,37315354.25,1000000,4.896184314
40,1,22.06949904,58.03217045,932.3091206,318940403.3,24179.0543,0.572843234
41,2,21.49989762,54.37115492,936.8308234,255761946.3,94419.64154,0.714347286
42,1,34.9400087,67.21298254,360.0755579,37132313.71,1000000,4.920319632
43,1.5,45.49368356,52.6703561,944.1912759,34761852.61,1000000,4.176769257
44,1.5,33.73820523,49.13606423,638.1554027,59278135.16,1000000,3.082128877
45,1,32.205,55.638,608.8207788,78496940.95,1000000,2.327515568
46,1,35.474,57.671,592.1518519,58741816.69,1000000,3.110269012
47,1.5,20.23317855,53.68005708,498.4123427,181816386.8,1000000,1.004875607
48,2,21.34135169,55.44132709,567.8914786,159388280,525410.7122,0.910934212
49,2,20.17805077,37.51761853,603.1995186,198432922.9,521690.311,0.920728524
50,1,28.421,35.74142948,649.3010768,101551069.8,1000000,1.79912287
