Name,r,d,D,Moment X Component [N m],Equivalent Stress Maximum [Pa],Life Minimum,Safety Factor
,,,,,,,
1,1.5,30.7,42.2,107.5,12490050.64,1000000,6.901493234
2,1,30.4,54.7,130,19162749.91,1000000,4.498310545
3,1,41.6,56.5,322,19770081.3,1000000,4.360123698
4,1,28.8,38.5,394,63696904.37,1000000,1.353283976
5,1,38.4,60.1,310,24666266.89,1000000,3.494651234
6,1,40,45.7,190,10867912.44,1000000,7.931606043
7,1,32,58.3,382,49571372.78,1000000,1.738906856
8,1,20.8,29.5,262,94310999.46,595844.3676,0.913997312
9,1,24,49.3,154,42271666.38,1000000,2.039190961
10,1,25.6,40.3,166,38419041.44,1000000,2.243679091
11,1,33.6,65.5,178,19990944.25,1000000,4.311952397
12,1,36.8,61.9,202,17573576.85,1000000,4.905091362
13,1,22.4,63.7,286,95966883.71,539026.5773,0.89822652
14,1,35.2,25.9,118,11850247.83,1000000,7.274109475
15,1,27.2,47.5,358,69650029.77,1000000,1.237616126
16,3,22.4,47.5,130,27472963.97,1000000,3.137630148
17,4.5,36.8,51.1,118,5748060.564,1000000,14.99636252
18,4,30.4,31.3,394,22945156.28,1000000,3.756784175
19,3,28.6,46.4,346,38414008.62,1000000,2.243973048
20,3.5,39,48.3,382,16432321.98,1000000,5.245758943
21,5,35.2,43.9,370,18899981.87,1000000,4.560850935
22,2.5,32,62.3,190,16679477.39,1000000,5.16802763
23,3,41.7,50.7,214,8025307.307,1000000,10.74102171
24,3.5,32.4,38.5,286,19949218.36,1000000,4.320971301
25,3,36.8,58.7,310,17519202.43,1000000,4.920315314
26,3,21.3,38.7,322,78800626.22,1000000,1.093899936
27,2,24,49.3,166,34608440.95,1000000,2.490721848
28,4,40.8,45.7,274,9281457.45,1000000,9.287334502
29,4.5,27.2,60.1,226,25098999.49,1000000,3.434399846
30,3.5,28.8,42.1,358,36186624.1,1000000,2.382095654
31,4.5,20.6,25.9,106,24222053.35,1000000,3.558740408
32,2,24.2,33.1,250,48688852.95,1000000,1.770425771
33,2.5,33.6,34.9,202,9548505.093,1000000,9.027591143
34,3,26.3,36.7,142,19390314.57,1000000,4.44551839
35,2,40.6,53.7,354,17402980.12,1000000,4.953174652
36,3,32,40.3,298,23081922.64,1000000,3.734524256
37,2,36.4,52.9,334,22651197.47,1000000,3.805538322
38,3,20.8,27.7,238,60228850.7,1000000,1.431207785
39,4,25.6,57.6,178,24253927.32,1000000,3.55406359
40,2.5,35.6,53.2,398.6,26023736.07,1000000,3.312360675
41,2,20,25,650,200337928,25476.14598,0.430272993
42,5,22.5,34.6,787.6277022,140304662.8,94104.99129,0.614377301
43,2,38.8,56.4,653.6,37319391.53,1000000,2.309791142
44,5,20.4279739,31.5,506.2233862,117748010.5,177853.0451,0.732071817
45,4.5,20.7,26.07381564,512.771315,114915196,194281.4724,0.750118374
46,2.5,20.53111368,39.7,796.938973,230850334.8,15427.1061,0.373402101
47,2,33.5,40.48843961,787.1685688,61748955.14,1000000,1.395975038
48,5,24.51959889,28.77740179,776.5249817,98411602,466345.6264,0.875912984
49,2,20.93766405,66.07583894,504.3199151,150680875.6,72433.83194,0.572069944
50,2,20.9,25.79166434,501.9724942,138589690.3,98447.93155,0.621979888
51,4.5,26.8,34.4,522.0239889,57856327.17,1000000,1.489897548
52,4,22.4342864,27.22163071,514.0345942,94416692.79,592014.1479,0.912974152
53,4.5,27.5,30.3,778.4172914,69848110.61,1000000,1.234106395
54,3.5,40.03183509,48.6,655.3422393,25898613.4,1000000,3.328363518
55,5,20.59535943,44.4,771.2611547,175223552.6,41641.93925,0.491942999
56,2.5,43.8,51.2,786.6104631,26598181.56,1000000,3.240823054
57,3,29.19108938,36.89903193,795.2568152,79007273.65,1000000,1.091038787
58,2.5,33.95018908,41.23864815,526.9479878,36380313.16,1000000,2.369413359
59,3,29.6,36.6,640.9254607,60939605.24,1000000,1.414515235
60,3.5,38.8,46.54705324,506.103959,21574909.76,1000000,3.995381717
61,2,39.30354345,42.9,628.6167121,27746465.77,1000000,3.106701975
62,3.5,39.78957598,48,503.9047796,20190371.14,1000000,4.269361835
63,3.5,28.5,36.4,638.0013468,64584724.36,1000000,1.33468093
64,3,37.81374869,45.29428752,530.6837827,25932045.5,1000000,3.324072526
65,2.5,20.82004767,39.6,626.7793948,173526363.3,43155.64493,0.496754489
66,4,28.7,36.05,863,81867840.99,1000000,1.052916493
67,2,41.3,57.94,731,35249480.57,1000000,2.445426106
68,3.5,40.1,50.75,761,30540098.77,1000000,2.822518704
69,2,39.65,41.65,767,28763341.45,1000000,2.996870171
70,3,29.3,47.25,785,80792812.66,1000000,1.066926589
71,1.5,45.7,56.13,881,33435084.08,1000000,2.5781302
72,1,34.3,40.95,701,64205050.64,1000000,1.342573507
73,2.5,34.7,42.35,653,43146311.48,1000000,1.997853282
74,3,25.9,39.65,821,116492964.4,184903.6805,0.73995885
75,3,25.1,64.05,905,142533224.7,88818.95396,0.604771275
76,4,34.1,56.35,845,53379192.77,1000000,1.614861438
77,3,33.5,42.85,893,61695838.88,1000000,1.397176885
78,1,44.9,57.75,797,39063851.08,1000000,2.206643677
79,5,26.3,47.95,779,91519630.46,708369.2969,0.941874432
80,2,22.1,61.95,791,206901945,22634.45733,0.416622473
81,4,38.3,45.85,917,39019149.07,1000000,2.209171703
82,2.5,32.5,52.65,665,56841903.26,1000000,1.516486871
83,3,37.9,41.65,827,36192689.94,1000000,2.381696418
84,4.5,28.1,36.75,737,72668243.61,1000000,1.18621279
85,3.5,21.5,52.15,887,200737300.3,25290.70103,0.429416954
86,3,26.6,37.45,929,122011338.9,156322.3534,0.706491715
87,4,23.3,66.85,803,140433538,93788.57129,0.613813489
88,2.5,44.5,48.35,875,25832622.53,1000000,3.336866007
89,2,34.8,44.45,809,58930584.39,1000000,1.462737913
90,4.5,27.5,50.05,815,88031557.32,885983.8839,0.97919431
91,2,37.7,45.15,869,49165389.37,1000000,1.753265887
92,3,26.9,46.55,941,121094559.9,160658.9018,0.7118404
93,3.5,20.3,43.05,833,218623692.9,18587.99555,0.394284804
94,2,25.7,67.55,677,117324676.5,180192.3121,0.734713298
95,2,42.8,50.6,671,26805483.37,1000000,3.215759955
96,2,22.7,49.35,695,168580089.3,47985.55858,0.511329661
97,2.5,29.9,39.55,911,93073006.17,642945.2144,0.926154677
98,3,32.9,59.15,719,54620507.79,1000000,1.57816182
99,3,30.5,65.45,899,84347709.69,1000000,1.021960173
100,3.5,23.9,38.85,707,118707398.7,172693.3019,0.726155244
101,1.5,33.5,68.25,857,82705438.04,1000000,1.04225311
102,1.5,40.7,53.55,935,51471504.44,1000000,1.674713046
103,3,37.6,43.75,683,32866360.86,1000000,2.622742456
104,3,31.7,64.75,713,59840298.28,1000000,1.440500841
105,1.5,43.1,54.25,749,34435881.93,1000000,2.503202914
106,3,28.9,40.55,947,99828865.74,429490.5228,0.863477706
107,4.5,32.6,38.15,743,46371032.52,1000000,1.858919142
108,1.5,38.5,40.25,851,35781971.78,1000000,2.409034374
109,4,31.1,51.45,659,52785780.86,1000000,1.633015532
110,2.5,29.5,35.35,773,77255953.29,1000000,1.115771618
111,1.5,24.5,57.05,923,203976367.6,23848.36008,0.422597976
112,2,36.5,48.65,755,50015581.88,1000000,1.723462904
113,2.5,35.3,58.45,839,57405113.66,1000000,1.501608385
114,5,32.3,44.85,689,45864544.73,1000000,1.879447414
115,4,20.9,54.95,725,168851489.5,47703.22097,0.510507786
