Name,r,d,D,Moment X Component (N m) ,Equivalent Stress Maximum (Pa) ,Life Minimum,Safety Factor
1,1,20,40,625,263093190.2,1111.882644,0.205585401
2,1.5,34.34,60.59,923.1933548,85016398.53,93604.15894,0.636208071
3,1.5,29.68,48.28,301.6634626,40216226.17,1000000,1.344932732
4,2.5,20.32098042,66.43524561,313.4840035,92696715.72,65883.8934,0.583495527
5,4,28.82,35.83518994,327.6711825,30579158.39,1000000,1.768790306
6,4,34.65,49.34,887.4720359,52657313.17,1000000,1.027172024
7,3.5,23.38969917,37.93797917,899.1374603,160350361,7206.291327,0.337312112
8,2.5,20.32034667,69.5300471,938.817418,281414044.7,867.1297312,0.192201207
9,1,20.70324804,66.94787473,309.359816,123714222.5,19871.7039,0.437202109
10,4,26.19,35.61573893,304.2737374,37584677.5,1000000,1.439100254
11,1.5,37.39,59.65,915.1309113,65094315.76,319784.5828,0.830919233
12,2,29.65,55.32,347.7186427,40920357.59,1000000,1.321789988
13,3.5,21.8257148,36.727935,330.4082875,71363111.39,187499.3352,0.757928261
14,2.5,37.42231557,53.87269856,545.0018638,30757826.2,1000000,1.758515657
15,3,36.68,42.53,812.1429546,41714057.9,1000000,1.29664007
16,2,31.31182688,49.69485662,941.9808581,96091042.18,56876.51536,0.562884091
17,3.5,29.8384442,53.44,753.2352469,71030614.08,190974.4486,0.761476156
18,1.5,29.45090673,65.34487376,684.9392726,94290825.64,61452.71608,0.57363077
19,3,31.02673065,48.85681953,310.0033352,27186362.52,1000000,1.989531292
20,3,21.35118825,48.35474093,671.5733484,160573077.3,7168.941463,0.336844257
21,1,48.00237412,50.70091542,566.1452125,15354940.91,1000000,3.522522117
22,3,33.36031152,50.78444585,366.4815293,26675894.94,1000000,2.027602788
23,2,32.60503441,68.64000514,308.4509317,28802187.88,1000000,1.877917024
24,2,39.78,56.49225353,800.0115902,42490244.76,1000000,1.27295381
25,2.5,35.72419431,45.48,600.1709055,37464613.22,1000000,1.443712194
26,2.5,38.9,53.61638765,300.1586384,15257357.3,1000000,3.545051603
27,2,20.61503576,69.84520245,574.6886887,172775765.3,5437.361681,0.313053852
28,2.5,20.04941613,53.91458295,301.9209173,93060574.71,64839.09249,0.581214108
29,1,49.24501288,51.6578885,599.002918,14334152.75,1000000,3.773373975
30,4,20.55092894,35.64868782,916.5656254,222051966,2027.632171,0.243583157
31,1.5,36.90381004,66.92431312,938.6203027,71548708.14,185593.4556,0.755962202
32,1,37.19869676,39.74,306.4256805,17744365.22,1000000,3.048185623
33,2,32.31904449,36.96639841,626.6722738,50827815.87,1000000,1.064144072
34,2,27.53,49.85,564.4332052,81973625.09,108335.0639,0.659823436
35,2.5,39.94904446,52.46837696,921.4259326,43624457.57,1000000,1.239857684
36,2,36.73,46.96,590.3153647,36787358.37,1000000,1.470290919
37,1,35.40050654,38.65,944.4050869,63201081.47,383878.9306,0.855810022
38,3.5,21.11724263,35.81757709,316.5571376,74484848.66,158392.124,0.726162702
39,1,34.6788013,35.86,876.9423844,46791424.86,1000000,1.15594084
40,1,22.06949904,58.03217045,932.3091206,318940403.3,534.9484398,0.169586915
41,3.5,21.49989762,54.37115492,936.8308234,210112730.8,2534.816639,0.257424282
42,1,34.9400087,67.21298254,360.0755579,37132313.71,1000000,1.456632069
43,1,45.49368356,52.6703561,944.1912759,39564445.67,1000000,1.367089012
44,2,33.73820523,49.13606423,638.1554027,51983760,1000000,1.040481084
45,1,40.25,60.64,608.8207788,42532339.09,1000000,1.271693965
46,1,35.42,65.22,592.1518519,58480200.56,619524.6022,0.924896263
47,3,20.23317855,53.68005708,498.4123427,136928437.3,13255.05299,0.395010124
48,1.5,21.34135169,55.44132709,567.8914786,179436303.8,4705.364111,0.301433533
49,4,20.17805077,37.51761853,603.1995186,154650739.2,8247.620584,0.349743682
50,1.5,35.74,48.56,649.3010768,50256863.49,1000000,1.076233477
